TY,AU,NI,PB,DA,SP,EP,T1,ID,TI,VL,OC,
letter,"Garber, Abram P.",,Harvard University Botany Libraries, 1870-01-04,53112258,53112259,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garber, Abram P. Jan. 4, 1870 ",222854,878725232,1
letter,"Garber, Abram P.",,Harvard University Botany Libraries, 1871-03-30,53112260,53112260,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garber, Abram P. Mar. 30, 1871 ",222854,878725232,1
letter,"Garber, Abram P.",,Harvard University Botany Libraries, 1877-04-21,53112261,53112262,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garber, Abram P. Apr. 21, 1877 ",222854,878725232,1
letter,"Garber, Abram P.",,Harvard University Botany Libraries, 1878-04-14,53112263,53112264,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garber, Abram P. Apr. 14, 1878 ",222854,878725232,1
letter,"Garber, Abram P.",,Harvard University Botany Libraries, 1878-05-03,53112265,53112266,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garber, Abram P. May 3, 1878 ",222854,878725232,1
letter,"Garber, Abram P.",,Harvard University Botany Libraries, 1879-05-02,53112267,53112268,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garber, Abram P. May 2, 1879 ",222854,878725232,1
letter,"Garber, Abram P.",,Harvard University Botany Libraries, 1879-12-17,53112269,53112270,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garber, Abram P. Dec. 17, 1879 ",222854,878725232,1
letter,"Garber, Abram P.",,Harvard University Botany Libraries, 1879-12-22,53112271,53112272,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garber, Abram P. Dec. 22, 1879 ",222854,878725232,1
letter,"Garber, Abram P.",,Harvard University Botany Libraries, 1879-12-24,53112273,53112274,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garber, Abram P. Dec. 24, 1879 ",222854,878725232,1
letter,"Garber, Abram P.",,Harvard University Botany Libraries, 1880-05-12,53112275,53112276,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garber, Abram P. May 12, 1880 ",222854,878725232,1
letter,"Garber, Abram P.",,Harvard University Botany Libraries, 1880-07,53112277,53112278,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garber, Abram P. July [1880] ",222854,878725232,1
letter,"Garber, Abram P.",,Harvard University Botany Libraries,1880,53112279,53112279,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garber, Abram P. [1880] ",222854,878725232,1
letter,"Garrison, Wendell P.",,Harvard University Botany Libraries, 1883-03-17,53112280,53112281,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garrison, Wendell P. Mar. 17, 1883 ",222854,878725232,1
letter,"Garrison, Wendell P.",,Harvard University Botany Libraries, 1887-04-09,53112282,53112283,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Garrison, Wendell P. Apr. 9, 1887 ",222854,878725232,1
letter,"Gattinger, Augustin",,Harvard University Botany Libraries, 1878-08-17,53112284,53112286,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Gattinger, Augustin Aug. 17, 1878 ",222854,878725232,1
letter,"Gattinger, Augustin",,Harvard University Botany Libraries, 1879-12-22,53112287,53112288,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Gattinger, Augustin Dec. 22, 1879 ",222854,878725232,1
letter,"Gattinger, Augustin",,Harvard University Botany Libraries, 1880-05-15,53112289,53112290,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Gattinger, Augustin May 15, 1880 ",222854,878725232,1
letter,"Gattinger, Augustin",,Harvard University Botany Libraries, 1880-05-21,53112291,53112292,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Gattinger, Augustin May 21, 1880 ",222854,878725232,1
letter,"Gattinger, Augustin",,Harvard University Botany Libraries, 1882-07-18,53112293,53112294,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Gattinger, Augustin July 18, 1882 ",222854,878725232,1
letter,"Gattinger, Augustin",,Harvard University Botany Libraries, 1884-08-25,53112295,53112295,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Gattinger, Augustin Aug. 25, 1884 ",222854,878725232,1
letter,"Gattinger, Augustin",,Harvard University Botany Libraries, 1884-10-06,53112296,53112297,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Gattinger, Augustin Oct. 6, 1884 ",222854,878725232,1
letter,"Gattinger, Augustin",,Harvard University Botany Libraries, 1884-10-18,53112298,53112299,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Gattinger, Augustin Oct. 18, 1884 ",222854,878725232,1
letter,"Gattinger, Augustin",,Harvard University Botany Libraries, 1887-10-17,53112300,53112300,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Gattinger, Augustin Oct. 17, 1887 ",222854,878725232,1
letter,"Gatty, Horatia K. F.",[no year],Harvard University Botany Libraries, 09-14,53112301,53112304,"Asa Gray correspondence. Senders Ga-Go, 1835-1891 (inclusive)",128568,"Gatty, Horatia K. F. Sept. 14 [no year]",222854,878725232,1
