TY,AU,NI,PB,DA,SP,EP,T1,ID,TI,VL,OC
letter,"Heimerl, Anton",,Harvard University Botany Libraries, 1887-05-02,53113288,53113289,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Heimerl, Anton May 2, 1887 ",222863,878725232
letter,"Hemsley, William B.",,Harvard University Botany Libraries, 1878-07-31,53113290,53113293,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hemsley, William B. July 31, 1878 ",222863,878725232
letter,"Hemsley, William B.",,Harvard University Botany Libraries, 1879-06-04,53113294,53113295,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hemsley, William B. June 4, 1879 ",222863,878725232
letter,"Hemsley, William B.",,Harvard University Botany Libraries, 1880-02-21,53113296,53113297,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hemsley, William B. Feb. 21, 1880 ",222863,878725232
letter,"Hemsley, William B.",,Harvard University Botany Libraries, 1880-03-24,53113298,53113299,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hemsley, William B. Mar. 24, 1880 ",222863,878725232
letter,"Hemsley, William B.",[postcard],Harvard University Botany Libraries, 1880-03-25,53113300,53113301,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hemsley, William B. Mar. 25, 1880 [postcard]",222863,878725232
letter,"Hemsley, William B.",[no year],Harvard University Botany Libraries, 07-23,53113302,53113303,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hemsley, William B. July 23 [no year]",222863,878725232
letter,"Hemsley, William B.",[no year],Harvard University Botany Libraries, 12-12,53113304,53113305,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hemsley, William B. Dec. 12 [no year]",222863,878725232
letter,"Hemsley, William B.",[to S. Watson] [postcard],Harvard University Botany Libraries, 1891-05-21,53113306,53113307,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hemsley, William B. May 21, 1891 [to S. Watson] [postcard]",222863,878725232
letter,"Hemsley, William B.",[to S. Watson],Harvard University Botany Libraries, 1891-09-10,53113308,53113309,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hemsley, William B. Sept. 10, 1891 [to S. Watson]",222863,878725232
letter,"Hemsley, William B.",[to S. Watson],Harvard University Botany Libraries,undated,53113310,53113311,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hemsley, William B. undated [to S. Watson]",222863,878725232
letter,"Henderson, Louis F.",[to S. Watson],Harvard University Botany Libraries, 1881-12-17,53113312,53113314,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henderson, Louis F. Dec. 17, 1881 [to S. Watson]",222863,878725232
letter,"Henderson, Louis F.",[to S. Watson],Harvard University Botany Libraries, 1882-03-01,53113315,53113318,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henderson, Louis F. Mar. 1, 1882 [to S. Watson]",222863,878725232
letter,"Henderson, Louis F.",[to S. Watson],Harvard University Botany Libraries, 1888-02-05,53113319,53113320,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henderson, Louis F. Feb. 5, 1888 [to S. Watson]",222863,878725232
letter,"Henderson, Louis F.",[to S. Watson] [postcard],Harvard University Botany Libraries, 1888-03-19,53113321,53113322,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henderson, Louis F. Mar. 19, 1888 [to S. Watson] [postcard]",222863,878725232
letter,"Henderson, Louis F.",[to S. Watson],Harvard University Botany Libraries, 1888-04-09,53113323,53113324,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henderson, Louis F. Apr. 9, 1888 [to S. Watson]",222863,878725232
letter,"Henderson, Louis F.",[no year],Harvard University Botany Libraries, 10-05,53113325,53113326,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henderson, Louis F. Oct. 5 [no year]",222863,878725232
letter,"Henry, Augustine",[to S. Watson],Harvard University Botany Libraries, 1891-04-01,53113327,53113328,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henry, Augustine Apr. 1, 1891 [to S. Watson]",222863,878725232
letter,"Hensel, Bruckman & Lorbacher",,Harvard University Botany Libraries, 1884-10-27,53113329,53113329,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hensel, Bruckman & Lorbacher Oct. 27, 1884 ",222863,878725232
letter,"Henslow, George",,Harvard University Botany Libraries, 1879-06-02,53113330,53113331,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henslow, George June 2, 1879 ",222863,878725232
letter,"Henslow, George",,Harvard University Botany Libraries, 1879-06-16,53113332,53113333,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henslow, George June 16, 1879 ",222863,878725232
letter,"Henslow, George",,Harvard University Botany Libraries, 1882-02-03,53113334,53113335,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henslow, George Feb. 3, 1882 ",222863,878725232
letter,"Henslow, George",,Harvard University Botany Libraries, 1886-06-25,53113336,53113337,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henslow, George June 25, 1886 ",222863,878725232
letter,"Henslow, George",,Harvard University Botany Libraries,undated,53113338,53113339,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henslow, George undated ",222863,878725232
letter,"Henslow, John S.",[to Lester],Harvard University Botany Libraries, 1855-06-25,53113340,53113342,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Henslow, John S. June 25, 1855 [to Lester]",222863,878725232
letter,"Hérincq, François",,Harvard University Botany Libraries, 1880-12-16,53113343,53113343,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hérincq, François Dec. 16, 1880 ",222863,878725232
letter,"Hérincq, François",,Harvard University Botany Libraries, 1881-01-18,53113344,53113345,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hérincq, François Jan. 18, 1881 ",222863,878725232
letter,"Herschel, John",,Harvard University Botany Libraries, 1874-01-31,53113346,53113347,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Herschel, John Jan. 31, 1874 ",222863,878725232
letter,"Herschel, John",note,Harvard University Botany Libraries,undated,53113348,53113348,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Herschel, John undated note",222863,878725232
letter,"Hervey, E. Williams",[to S. Watson],Harvard University Botany Libraries, 1890-07-26,53113349,53113349,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hervey, E. Williams July 26, 1890 [to S. Watson]",222863,878725232
letter,"Hervey, E. Williams",[to B. L. Robinson],Harvard University Botany Libraries, 1890-08-27,53113350,53113350,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hervey, E. Williams Aug. 27, 1890 [to B. L. Robinson]",222863,878725232
letter,"Hervey, E. Williams",[to S. Watson],Harvard University Botany Libraries, 1890-11-08,53113351,53113351,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hervey, E. Williams Nov. 8, 1890 [to S. Watson]",222863,878725232
letter,"Hervey, E. Williams",[to S. Watson],Harvard University Botany Libraries, 1891-02-24,53113352,53113353,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hervey, E. Williams Feb. 24, 1891 [to S. Watson]",222863,878725232
letter,"Hervey, E. Williams",[to S. Watson],Harvard University Botany Libraries, 1891-03-06,53113354,53113355,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hervey, E. Williams Mar. 6, 1891 [to S. Watson]",222863,878725232
letter,"Hervey, E. Williams",fragment,Harvard University Botany Libraries,undated,53113356,53113356,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hervey, E. Williams undated fragment",222863,878725232
letter,"Heward, Robert",,Harvard University Botany Libraries, 1849-01-25,53113357,53113358,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Heward, Robert Jan. 25, 1849 ",222863,878725232
letter,"Heward, Robert",,Harvard University Botany Libraries, 1849-06-19,53113359,53113360,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Heward, Robert June 19, 1849 ",222863,878725232
letter,"Hicks, Gilbert H.",[to S. Watson],Harvard University Botany Libraries, 1890-07-21,53113361,53113364,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hicks, Gilbert H. July 21, 1890 [to S. Watson]",222863,878725232
letter,"Hicks, Gilbert H.",[to S. Watson],Harvard University Botany Libraries, 1890-08-14,53113365,53113365,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hicks, Gilbert H. Aug. 14, 1890 [to S. Watson]",222863,878725232
letter,"Hiern, William P.",,Harvard University Botany Libraries, 1878-05-03,53113366,53113367,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hiern, William P. May 3, 1878 ",222863,878725232
letter,"Higginson, S. Storrow",,Harvard University Botany Libraries, 1879-07-21,53113368,53113369,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Higginson, S. Storrow July 21, 1879 ",222863,878725232
letter,"Higginson, S. Storrow",[to S. Watson],Harvard University Botany Libraries, 1891-11-12,53113370,53113371,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Higginson, S. Storrow Nov. 12, 1891 [to S. Watson]",222863,878725232
letter,"Higley, William K.",[missing date] [to unknown],Harvard University Botany Libraries,undated,53113372,53113373,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Higley, William K. undated [missing date] [to unknown]",222863,878725232
letter,"Hill, Ellsworth J.",,Harvard University Botany Libraries, 1882-02-04,53113374,53113375,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hill, Ellsworth J. Feb. 4, 1882 ",222863,878725232
letter,"Hill, Ellsworth J.",[to S. Watson],Harvard University Botany Libraries, 1890-01-29,53113376,53113377,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hill, Ellsworth J. Jan. 29, 1890 [to S. Watson]",222863,878725232
letter,"Hill, Thomas",[poem],Harvard University Botany Libraries,1877,53113378,53113379,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hill, Thomas 1877 [poem]",222863,878725232
letter,"Hill, Thomas",[to S. Watson],Harvard University Botany Libraries, 1891-09-25,53113380,53113381,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hill, Thomas Sept. 25, 1891 [to S. Watson]",222863,878725232
letter,"Hillebrand, William",,Harvard University Botany Libraries, 1883-03-29,53113382,53113387,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hillebrand, William Mar. 29, 1883 ",222863,878725232
letter,"Hincks, William",,Harvard University Botany Libraries, 1847-05-01,53113388,53113390,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hincks, William May 1847 ",222863,878725232
letter,"Hincks, William",,Harvard University Botany Libraries, 1857-02-17,53113391,53113392,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hincks, William Feb. 17, 1857 ",222863,878725232
letter,"Hincks, William",,Harvard University Botany Libraries, 1858-05-19,53113393,53113396,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hincks, William May 19, 1858 ",222863,878725232
letter,"Hincks, William",,Harvard University Botany Libraries, 1867-08-28,53113397,53113398,"Asa Gray correspondence. Senders He-Hi, 1846-1891 (inclusive)",128570,"Hincks, William Aug. 28, 1867 ",222863,878725232
